Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
20081121,11814.8096,11814.8096,310604.32,-771.8117237,-115.4289596,1233.6904,13701.25902,13370.76094,-562.1494,12843.7959,-2180.96,-14.69633731,-0.141436558,-382.7636969,87.65,0.38
20081124,12239.4902,12239.4902,176914.72,-780.2524034,-101.0218508,467.7403,13582.84773,13142.09199,-1084.7198,12629.47792,-1332.0996,-9.659867557,-0.112739209,223354.4306,85.867,0.38
20081125,13012,12767.4404,246629.18,-744.416847,-47.85073747,632.9395,13515.77648,13025.86191,-650.9307,12622.01992,-1364.8301,-9.582173176,-0.076080305,290539.7975,84.77,0.38
20081126,12990.3496,12990.3496,239458.72,-668.7010003,-8.270549652,490.8506,13501.84064,12968.89795,453.5606,12732.75,-1375.1797,-9.326647799,0.011077539,437428.735,85.78,0.38
20081127,13901.4502,13332.9297,277607.2,-587.1918121,36.82127978,597.9805,13506.6234,13001.96895,736.2598,12983.45,-488.8408,-3.481548804,0.000693577,629118.7747,85.53,0.38
20081128,13550.29,13550.29,215028.12,-489.8218669,76.41510579,346.2002,13542.96786,13036.52695,1589.6806,13229.258,-50.8496,-0.364798568,0.025828319,1157376.95,86.55,0.38
20081201,13775.2803,13659.4404,204164.36,-390.3551682,114.9819781,594.2198,13596.86042,13094.4579,1449.6396,13559.43788,887.4902,6.712553762,0.084553388,699086.2918,87.05,0.22
20081202,13373.0195,13344.5996,196120.76,-364.055917,39.50356323,764.2402,13578.66891,13143.4539,947.9092,13664.88788,-136.8106,-1.010219543,0.044014353,782452.369,86.57,0.22
20081203,13598.5996,13573.4297,181138.52,-324.7191233,64.87835417,372.2002,13579.62047,13220.73994,710.0606,13708.72988,59.1299,0.437043258,0.0949395,239824.6243,86.7,0.22
20081204,13857.29,13459.6104,186263.36,-296.4916089,60.26849652,424.2597,13572.96902,13341.86201,140.3301,13700.27402,593.8907,4.598140108,0.062960321,15578.20998,86.52,0.22
20081205,13718.9199,13656.9199,175056.6,-244.169105,79.75157681,365.3593,13598.98052,13460.55097,294.0302,13691.84394,1030.29,8.039217342,0.100255698,161737.7728,86.82,0.22
