Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20110204,10526.39,10524.13,2002563072,31.2877065,120.8660228,149,10406.89152,10399.509,198.41,10388.932,44.48,0.423657782,0.018818194,17132939.05,78.02,0.13615
20110207,10641.3,10572.72,1622960384,42.7839604,150.9206569,100.69,10424.52471,10424.202,246.93,10459.756,93,0.885795273,0.012048671,13526618.95,78.05,0.13615
20110208,10645.03,10623.7,1504334208,54.80861561,163.8807121,56.76,10444.66331,10441.358,290.87,10532.052,136.94,1.304309727,0.022008315,2142860.077,77.99,0.13615
20110209,10686.72,10599.5,1649803648,62.15717892,134.1877838,102.42,10461.15537,10462.951,153.41,10564.146,114.97,1.094654218,0.013107198,-7469689.756,77.59,0.13615
20110210,10574.8,10570.62,1455711744,66.23463247,90.31487693,61.32,10474.91677,10475.65,203.75,10599.004,86.67,0.823939203,0.023130124,-16637867.72,78.2,0.13615
20110214,10689.65,10674.44,1405917952,78.2382826,126.2064153,119.89,10498.78565,10512.17,365.2,10635.408,288.23,2.7615353,0.045463445,-18409517.97,78.58,0.13615
20110215,10738.81,10712.49,1427041664,88.43683147,117.3388236,48.5,10522.39368,10563.045,508.75,10666.334,472.15,4.595348493,0.043936401,-21908806.48,78.59,0.13615
20110216,10758.86,10752.61,1891024000,100.334876,124.6404916,95.64,10549.6219,10616.424,533.79,10700.796,463.18,4.477284437,0.032468596,-1248.358472,78.23,0.13615
20110217,10882.91,10820.48,1737076352,110.7748268,124.4185185,83.31,10576.95696,10654.352,218.81,10744.558,372.22,3.557005548,0.037399046,-10226016.85,77.97,0.13615
20110218,10829.15,10810.12,1513191296,118.1832802,106.9436674,52.31,10602.27534,10695.496,237.15,10791.988,440.9,4.238648708,0.027601726,-5506833.115,77.62,0.13615
20110221,10820.78,10789.41,1364301312,123.8158488,97.48426114,69.98,10626.58531,10726.897,251.88,10818.386,378.87,3.61563406,0.024452154,11076467,77.69,0.13615
20110222,10745.52,10639.78,1789458432,111.4353729,12.01179077,217.75,10630.21528,10734.163,-60.84,10801.992,304.36,2.937741425,0.002692997,-8835621.913,77.82,0.13615
20110223,10588.82,10569.93,1822635648,93.6371611,-50.41935009,96.79,10625.34716,10728.475,-167.57,10756.154,341.18,3.332512854,-0.003647638,-7464392.758,77.38,0.13615
20110224,10533.2,10428.38,1849260288,68.54320982,-144.5089311,150.72,10608.90552,10711.963,-355.58,10679.368,178.21,1.734488296,-0.014420615,-11757860.18,77.1,0.13615
20110225,10475.78,10454.46,1547043200,54.00870999,-117.7400428,79.5,10601.08214,10704.074,-309.88,10616.16,-91.07,-0.857708213,-0.018533333,15095631.44,77.25,0.13615
20110228,10504.54,10448.83,1865984896,49.77001399,-72.21902684,179.93,10603.27337,10693.929,-218.71,10569.472,18.44,0.173869588,-0.011406324,22351980.71,76.9,0.13615
20110301,10676.24,10672.91,1564337280,56.24750272,27.83151329,129.94,10617.63114,10694.665,-103.5,10587.338,148.38,1.399065592,-0.005020221,27044340.27,77.02,0.13615
